id,punkte,alter,geburtsjahr,geschlecht,bildung_eltern,alkohol,gesundheit,sozial,unterstuetzung,wiederholungen,lernzeit,fehltage,haarfarbe
362,NA,17,2003,w,mittel,1.5,3,3.5,nein,0,1.8,18,1
363,NA,17,2003,w,gering,1.5,5,4.5,nein,0,3,2,1
364,NA,16,2004,w,mittel,1,1,1.5,nein,0,3.6,10,3
365,NA,18,2002,w,mittel,1,1,4,nein,0,2.3,0,2
366,NA,17,2003,w,gering,1.5,1,3,nein,1,0.5,0,3
367,NA,18,2002,w,mittel,1.5,3,3.5,nein,0,7.7,4,1
368,NA,17,2003,w,mittel,3.5,5,4,nein,0,5.6,0,2
369,NA,17,2003,w,mittel,1,4,3.5,nein,0,9.6,4,1
370,NA,19,2001,w,gering,1,3,3,nein,2,9,14,1
371,NA,18,2002,m,mittel,2.5,5,5,nein,0,6.3,0,1
372,NA,19,2001,m,hoch,1,4,4,nein,1,0.2,38,3
373,NA,18,2002,w,mittel,2,3,3,nein,0,3.9,0,5
374,NA,18,2002,w,mittel,1,3,3.5,nein,1,3.7,8,3
375,NA,18,2002,m,mittel,3.5,1,4.5,nein,0,2.5,13,2
376,NA,18,2002,w,mittel,1,2,3.5,nein,0,2.1,0,1
377,NA,18,2002,w,mittel,1.5,2,3.5,nein,0,6.6,5,1
378,NA,17,2003,w,mittel,1,5,3.5,nein,0,6.8,7,1
379,NA,17,2003,m,mittel,1,2,3.5,nein,0,1,4,3
380,NA,18,2002,m,mittel,3.5,5,2.5,nein,0,0.1,0,2
381,NA,19,2001,m,mittel,1,1,2.5,nein,0,2,12,5
382,NA,16,2004,m,gering,3,5,3,nein,0,0.3,0,1
383,NA,17,2003,m,mittel,3.5,3,4,nein,1,1.4,19,1
384,NA,19,2001,w,mittel,1,3,3,nein,1,7.8,40,1
385,NA,18,2002,w,gering,1,3,3.5,nein,0,11,1,1
386,NA,18,2002,w,mittel,1,5,4,nein,0,7.8,9,1
387,NA,19,2001,w,mittel,1.5,5,3.5,nein,1,9.6,0,4
388,NA,17,2003,m,mittel,3.5,2,3.5,nein,0,1.6,3,2
389,NA,18,2002,m,mittel,5,4,3,nein,0,4.8,0,1
390,NA,18,2002,w,gering,1,4,3.5,nein,0,9.2,0,1
391,NA,18,2002,m,mittel,3,4,3.5,nein,1,4.4,13,1
392,NA,17,2003,w,mittel,1.5,5,3.5,nein,0,11.3,0,1
393,NA,16,2004,m,hoch,1.5,5,3.5,nein,0,0.9,0,1
394,NA,18,2002,m,mittel,2,5,3.5,nein,1,3.4,8,1
395,NA,17,2003,w,mittel,1,4,3,nein,0,8.9,4,1
