carat,cut,color,clarity,depth,table,price,x,y,z,preis_log10,volume,price_high
0.23,Very Good,D,VS2,60.5,61,357,3.96,3.97,2.4,2.552668216112193,37.73088,FALSE
0.23,Very Good,F,VS1,60.9,57,357,3.96,3.99,2.42,2.552668216112193,38.236968000000005,FALSE
0.23,Very Good,F,VS1,60,57,402,4,4.03,2.41,2.60422605308447,38.8492,FALSE
0.23,Very Good,E,VS1,60.7,59,402,3.97,4.01,2.42,2.60422605308447,38.525674,FALSE
0.23,Very Good,E,VS1,59.5,58,402,4.01,4.06,2.4,2.60422605308447,39.07343999999999,FALSE
0.23,Very Good,D,VS1,61.9,58,402,3.92,3.96,2.44,2.60422605308447,37.876608,FALSE
0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46,2.60422605308447,36.27393,FALSE
0.31,Good,H,SI1,64,54,402,4.29,4.31,2.75,2.60422605308447,50.847224999999995,FALSE
0.26,Very Good,D,VS2,60.8,59,403,4.13,4.16,2.52,2.6053050461411096,43.295616,FALSE
0.33,Ideal,I,SI2,61.8,55,403,4.49,4.51,2.78,2.6053050461411096,56.294722,FALSE
0.33,Ideal,I,SI2,61.2,56,403,4.49,4.5,2.75,2.6053050461411096,55.563750000000006,FALSE
0.33,Ideal,J,SI1,61.1,56,403,4.49,4.55,2.76,2.6053050461411096,56.385419999999996,FALSE
0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61,2.6053050461411096,41.863878,FALSE
0.26,Good,D,VS1,58.4,63,403,4.19,4.24,2.46,2.6053050461411096,43.703376000000006,FALSE
0.32,Good,H,SI2,63.1,56,403,4.34,4.37,2.75,2.6053050461411096,52.155950000000004,FALSE
0.32,Very Good,H,SI2,61.8,55,403,4.35,4.42,2.71,2.6053050461411096,52.105169999999994,FALSE
0.25,Very Good,E,VS2,63.3,60,404,4,4.03,2.54,2.606381365110605,40.9448,FALSE
0.29,Very Good,H,SI2,60.7,60,404,4.33,4.37,2.64,2.606381365110605,49.954344000000006,FALSE
0.23,Ideal,G,VS1,61.9,54,404,3.93,3.95,2.44,2.606381365110605,37.877340000000004,FALSE
0.32,Ideal,I,SI1,60.9,55,404,4.45,4.48,2.72,2.606381365110605,54.225920000000016,FALSE
0.22,Premium,E,VS2,61.6,58,404,3.93,3.89,2.41,2.606381365110605,36.843357000000005,FALSE
0.22,Premium,D,VS2,59.3,62,404,3.91,3.88,2.31,2.606381365110605,35.044548,FALSE
0.3,Ideal,I,SI2,61,59,405,4.3,4.33,2.63,2.6074550232146687,48.967969999999994,FALSE
0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67,2.6074550232146687,48.5673,FALSE
0.3,Very Good,I,SI1,63,57,405,4.28,4.32,2.71,2.6074550232146687,50.10681600000001,FALSE
0.3,Good,I,SI1,63.2,55,405,4.25,4.29,2.7,2.6074550232146687,49.22775000000001,FALSE
0.3,Premium,D,SI1,62.6,59,552,4.23,4.27,2.66,2.741939077729199,48.04518600000001,FALSE
0.3,Ideal,D,SI1,62.1,56,552,4.3,4.33,2.68,2.741939077729199,49.898920000000004,FALSE
0.42,Premium,I,SI2,61.5,59,552,4.78,4.84,2.96,2.741939077729199,68.480192,FALSE
0.31,Very Good,G,SI1,63.3,57,553,4.33,4.3,2.73,2.7427251313046983,50.82987,FALSE
0.31,Premium,G,SI1,61.8,58,553,4.35,4.32,2.68,2.7427251313046983,50.362559999999995,FALSE
0.24,Premium,E,VVS1,60.7,58,553,4.01,4.03,2.44,2.7427251313046983,39.431132,FALSE
0.24,Very Good,D,VVS1,61.5,60,553,3.97,4,2.45,2.7427251313046983,38.906000000000006,FALSE
0.3,Very Good,H,SI1,63.1,56,554,4.29,4.27,2.7,2.74350976472843,49.45941,FALSE
0.3,Premium,H,SI1,62.9,59,554,4.28,4.24,2.68,2.74350976472843,48.634496000000006,FALSE
0.3,Premium,H,SI1,62.5,57,554,4.29,4.25,2.67,2.74350976472843,48.680775000000004,FALSE
0.3,Good,H,SI1,63.7,57,554,4.28,4.26,2.72,2.74350976472843,49.593216000000005,FALSE
0.26,Very Good,F,VVS2,59.2,60,554,4.19,4.22,2.49,2.74350976472843,44.027682,FALSE
0.26,Very Good,D,VVS2,62.8,60,554,4.01,4.05,2.53,2.74350976472843,41.08846499999999,FALSE
0.26,Very Good,E,VVS1,62.6,59,554,4.06,4.09,2.55,2.74350976472843,42.34377,FALSE
0.26,Very Good,E,VVS1,63.4,59,554,4,4.04,2.55,2.74350976472843,41.208,FALSE
0.26,Very Good,D,VVS1,62.1,60,554,4.03,4.12,2.53,2.74350976472843,42.007107999999995,FALSE
0.26,Ideal,E,VVS2,62.9,58,554,4.02,4.06,2.54,2.74350976472843,41.455847999999996,FALSE
0.38,Ideal,I,SI2,61.6,56,554,4.65,4.67,2.87,2.74350976472843,62.32348500000001,FALSE
0.26,Good,E,VVS1,57.9,60,554,4.22,4.25,2.45,2.74350976472843,43.94075,FALSE
0.24,Premium,G,VVS1,62.3,59,554,3.95,3.92,2.45,2.74350976472843,37.9358,FALSE
0.24,Premium,H,VVS1,61.2,58,554,4.01,3.96,2.44,2.74350976472843,38.746224,FALSE
0.24,Premium,H,VVS1,60.8,59,554,4.02,4,2.44,2.74350976472843,39.23519999999999,FALSE
0.32,Premium,I,SI1,62.9,58,554,4.35,4.33,2.73,2.74350976472843,51.420915,FALSE
0.32,Premium,I,SI1,62.7,58,554,4.37,4.34,2.73,2.74350976472843,51.776634,FALSE
0.32,Ideal,I,SI1,62.4,57,554,4.37,4.35,2.72,2.74350976472843,51.70584,FALSE
0.32,Premium,I,SI1,61,59,554,4.39,4.36,2.67,2.74350976472843,51.104867999999996,FALSE
0.32,Very Good,I,SI1,63.1,56,554,4.39,4.36,2.76,2.74350976472843,52.827504,FALSE
0.32,Ideal,I,SI1,60.7,57,554,4.47,4.42,2.7,2.74350976472843,53.34497999999999,FALSE
0.3,Premium,H,SI1,60.9,59,554,4.31,4.29,2.62,2.74350976472843,48.443538,FALSE
0.3,Premium,H,SI1,60.1,55,554,4.41,4.38,2.64,2.74350976472843,50.993712,FALSE
0.3,Premium,H,SI1,62.9,58,554,4.28,4.24,2.68,2.74350976472843,48.634496000000006,FALSE
0.3,Very Good,H,SI1,63.3,56,554,4.29,4.27,2.71,2.74350976472843,49.64259299999999,FALSE
0.3,Ideal,H,SI1,62.9,57,554,4.27,4.22,2.67,2.74350976472843,48.11179799999999,FALSE
0.32,Good,I,SI1,63.9,55,554,4.36,4.34,2.78,2.74350976472843,52.604271999999995,FALSE
0.33,Ideal,H,SI2,61.4,56,554,4.85,4.79,2.95,2.74350976472843,68.53292499999999,FALSE
0.29,Very Good,E,VS1,61.9,55,555,4.28,4.33,2.66,2.7442929831226763,49.29618400000001,FALSE
0.29,Very Good,E,VS1,62.4,55,555,4.2,4.25,2.63,2.7442929831226763,46.9455,FALSE
0.31,Very Good,F,SI1,61.8,58,555,4.32,4.35,2.68,2.7442929831226763,50.362559999999995,FALSE
0.34,Ideal,H,VS2,61.5,56,555,4.47,4.5,2.76,2.7442929831226763,55.51739999999999,FALSE
0.34,Ideal,I,VS1,61.8,55,555,4.48,4.52,2.78,2.7442929831226763,56.293887999999995,FALSE
0.34,Ideal,I,VS1,62,56,555,4.5,4.53,2.8,2.7442929831226763,57.078,FALSE
0.3,Ideal,G,VS1,62.3,56,555,4.29,4.31,2.68,2.7442929831226763,49.552932,FALSE
0.29,Ideal,F,VS1,61.6,56,555,4.26,4.31,2.64,2.7442929831226763,48.471984,FALSE
0.43,Very Good,E,I1,58.4,62,555,4.94,5,2.9,2.7442929831226763,71.63000000000001,FALSE
0.32,Very Good,F,VS2,61.4,58,556,4.37,4.42,2.7,2.7450747915820575,52.15158,FALSE
0.36,Ideal,I,VS2,61.9,56,556,4.54,4.57,2.82,2.7450747915820575,58.508796000000004,FALSE
0.3,Ideal,G,VS2,62,56,556,4.28,4.3,2.66,2.7450747915820575,48.954640000000005,FALSE
0.26,Ideal,E,VS1,61.5,57,556,4.09,4.12,2.52,2.7450747915820575,42.464016,FALSE
0.26,Ideal,E,VS1,62.1,56,556,4.09,4.12,2.55,2.7450747915820575,42.969539999999995,FALSE
0.36,Ideal,H,SI1,61.9,55,556,4.57,4.59,2.83,2.7450747915820575,59.36292900000001,FALSE
0.34,Good,E,SI1,63.3,57,556,4.44,4.47,2.82,2.7450747915820575,55.967976,FALSE
0.34,Good,E,SI1,63.5,55,556,4.44,4.47,2.83,2.7450747915820575,56.166444000000006,FALSE
0.34,Ideal,E,SI1,62.2,54,556,4.47,4.5,2.79,2.7450747915820575,56.12085,FALSE
0.32,Good,E,VS2,64.1,54,556,4.34,4.37,2.79,2.7450747915820575,52.914582,FALSE
0.31,Ideal,I,VVS1,61.6,55,557,4.36,4.41,2.7,2.745855195173729,51.91452000000001,FALSE
0.31,Ideal,I,VVS1,62.3,54,557,4.37,4.4,2.73,2.745855195173729,52.49244,FALSE
0.31,Ideal,I,VVS1,62,54,557,4.37,4.4,2.72,2.745855195173729,52.300160000000005,FALSE
0.31,Ideal,I,VVS1,62.2,53,557,4.36,4.38,2.72,2.745855195173729,51.94329600000001,FALSE
0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69,2.745855195173729,51.135555,FALSE
0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,2.745855195173729,50.900449,FALSE
0.33,Premium,F,SI2,62.3,58,557,4.43,4.4,2.75,2.745855195173729,53.603,FALSE
0.33,Premium,G,SI2,62.6,58,557,4.42,4.4,2.76,2.745855195173729,53.67648,FALSE
0.33,Premium,F,SI2,63,58,557,4.42,4.4,2.78,2.745855195173729,54.065439999999995,FALSE
0.33,Premium,J,VS1,61.5,61,557,4.46,4.39,2.72,2.745855195173729,53.255968,FALSE
0.33,Ideal,J,VS1,62.1,55,557,4.44,4.41,2.75,2.745855195173729,53.8461,FALSE
0.33,Good,I,SI1,63.6,53,557,4.43,4.4,2.81,2.745855195173729,54.77252,FALSE
0.33,Ideal,G,SI2,62.9,55,557,4.46,4.41,2.79,2.745855195173729,54.87539400000001,FALSE
0.39,Ideal,H,SI2,61.5,57,558,4.66,4.7,2.88,2.7466341989375787,63.07776,FALSE
0.32,Ideal,D,SI1,61.3,55,558,4.41,4.46,2.72,2.7466341989375787,53.49859200000001,FALSE
0.25,Premium,F,VS1,61.2,59,558,4.05,4.02,2.47,2.7466341989375787,40.21407,FALSE
0.25,Premium,E,VS1,60.7,59,558,4.13,4.11,2.5,2.7466341989375787,42.43575,FALSE
0.31,Premium,I,VS2,59.8,60,558,4.42,4.38,2.63,2.7466341989375787,50.915748,FALSE
0.31,Premium,I,VS2,62.3,57,558,4.35,4.32,2.7,2.7466341989375787,50.7384,FALSE
0.31,Premium,H,SI1,58.7,60,558,4.47,4.43,2.61,2.7466341989375787,51.68348099999999,FALSE
0.31,Ideal,E,SI2,61.7,56,558,4.4,4.35,2.7,2.7466341989375787,51.678000000000004,FALSE
0.31,Ideal,E,SI2,60.1,57,558,4.44,4.41,2.66,2.7466341989375787,52.083864000000005,FALSE
0.31,Ideal,E,SI2,61.3,55,558,4.37,4.34,2.67,2.7466341989375787,50.638686,FALSE
0.31,Ideal,I,VS2,59.9,57,558,4.4,4.38,2.63,2.7466341989375787,50.68536,FALSE
0.31,Premium,I,VS2,61.1,58,558,4.38,4.36,2.67,2.7466341989375787,50.988456000000006,FALSE
0.31,Premium,I,VS2,60.7,61,558,4.34,4.32,2.63,2.7466341989375787,49.309343999999996,FALSE
0.31,Very Good,I,VS2,63.1,54,558,4.34,4.31,2.73,2.7466341989375787,51.06574199999999,FALSE
0.31,Premium,I,VS2,62.3,60,558,4.32,4.31,2.69,2.7466341989375787,50.085648,FALSE
0.31,Premium,H,SI1,61.7,59,558,4.39,4.36,2.7,2.7466341989375787,51.67908,FALSE
0.31,Premium,H,SI1,61,61,558,4.39,4.33,2.66,2.7466341989375787,50.563142,FALSE
0.31,Good,H,SI1,63.6,57,558,4.31,4.28,2.73,2.7466341989375787,50.359764,FALSE
0.31,Premium,H,SI1,62.4,57,558,4.35,4.31,2.7,2.7466341989375787,50.62094999999999,FALSE
0.31,Premium,H,SI1,62.8,58,558,4.32,4.28,2.7,2.7466341989375787,49.921920000000014,FALSE
0.31,Premium,E,SI2,60.8,61,558,4.43,4.39,2.68,2.7466341989375787,52.119836,FALSE
0.31,Premium,E,SI2,61.2,61,558,4.37,4.36,2.67,2.7466341989375787,50.872044,FALSE
0.31,Very Good,G,VS2,62.6,56,559,4.33,4.37,2.72,2.747411807886423,51.468112000000005,FALSE
0.31,Very Good,G,VS2,61.4,55,559,4.38,4.41,2.69,2.747411807886423,51.959502,FALSE
0.31,Very Good,G,VS2,60.9,57,559,4.37,4.39,2.67,2.747411807886423,51.222081,FALSE
0.24,Ideal,G,VVS1,62.4,56,559,3.97,3.99,2.48,2.747411807886423,39.283944000000005,FALSE
0.24,Ideal,G,VVS1,62.1,56,559,3.97,4,2.47,2.747411807886423,39.223600000000005,FALSE
0.24,Ideal,G,VVS1,62.2,56,559,4,4.04,2.5,2.747411807886423,40.4,FALSE
0.24,Ideal,G,VVS1,62,55,559,4.01,4.03,2.49,2.747411807886423,40.239147,FALSE
0.24,Ideal,G,VVS1,62,56,559,3.97,4.01,2.47,2.747411807886423,39.321659000000004,FALSE
0.32,Ideal,E,SI1,61,56,559,4.41,4.45,2.7,2.747411807886423,52.98615000000001,FALSE
0.24,Ideal,G,IF,61.7,56,559,3.99,4.01,2.47,2.747411807886423,39.519753,FALSE
0.24,Ideal,G,IF,61.6,57,559,3.99,4.02,2.46,2.747411807886423,39.457907999999996,FALSE
0.24,Ideal,G,IF,61.3,57,559,4,4.03,2.46,2.747411807886423,39.6552,FALSE
0.32,Ideal,G,VS1,62.3,55,559,4.39,4.41,2.74,2.747411807886423,53.046126,FALSE
0.32,Ideal,G,VS1,61.8,55,559,4.42,4.45,2.74,2.747411807886423,53.893060000000006,FALSE
0.25,Very Good,E,VVS2,62,56,560,4.05,4.08,2.52,2.7481880270062002,41.640480000000004,FALSE
0.25,Very Good,E,VVS1,61.5,56,560,4.06,4.08,2.5,2.7481880270062002,41.41199999999999,FALSE
0.25,Very Good,F,IF,61.5,56,560,4.04,4.06,2.48,2.7481880270062002,40.677952,FALSE
0.32,Ideal,G,VS2,61.6,54,560,4.4,4.43,2.72,2.7481880270062002,53.018240000000006,FALSE
0.41,Ideal,I,SI1,61.7,55,561,4.77,4.8,2.95,2.7489628612561616,67.5432,FALSE
0.32,Ideal,H,VS1,61.5,57,561,4.4,4.42,2.71,2.7489628612561616,52.70408,FALSE
0.32,Good,E,SI1,63.3,56,561,4.34,4.35,2.75,2.7489628612561616,51.917249999999996,FALSE
0.32,Premium,G,VS2,60.5,58,561,4.41,4.42,2.67,2.7489628612561616,52.044174,FALSE
0.32,Premium,G,VS2,59.8,59,561,4.48,4.52,2.69,2.7489628612561616,54.471424,FALSE
0.32,Premium,I,VVS2,60.7,59,561,4.4,4.43,2.68,2.7489628612561616,52.23856000000001,FALSE
0.32,Very Good,G,VS2,60.2,57,561,4.42,4.45,2.67,2.7489628612561616,52.51623,FALSE
0.32,Good,G,VS2,63.3,54,561,4.36,4.39,2.77,2.7489628612561616,53.018907999999996,FALSE
0.32,Ideal,G,VS2,59.8,57,561,4.43,4.46,2.66,2.7489628612561616,52.555748,FALSE
0.32,Ideal,G,VS2,61.7,57,561,4.38,4.4,2.71,2.7489628612561616,52.227120000000006,FALSE
0.32,Very Good,H,VS1,63,57,561,4.32,4.35,2.73,2.7489628612561616,51.302159999999994,FALSE
0.32,Good,G,VS2,63.1,57,561,4.3,4.35,2.73,2.7489628612561616,51.06464999999999,FALSE
0.32,Very Good,H,VS1,63,57,561,4.37,4.39,2.76,2.7489628612561616,52.948668,FALSE
0.32,Premium,H,VS1,61.7,58,561,4.38,4.44,2.72,2.7489628612561616,52.89638400000001,FALSE
0.32,Ideal,G,VS2,61.8,55,561,4.41,4.42,2.73,2.7489628612561616,53.213706,FALSE
0.32,Premium,G,VS2,61.7,60,561,4.32,4.4,2.69,2.7489628612561616,51.13152000000001,FALSE
0.32,Good,E,SI1,63.4,55,561,4.35,4.36,2.76,2.7489628612561616,52.34616,FALSE
0.32,Very Good,G,VS2,62.6,58,561,4.37,4.39,2.74,2.7489628612561616,52.56498200000001,FALSE
0.32,Premium,G,VS2,62.3,58,561,4.36,4.41,2.73,2.7489628612561616,52.49134800000001,FALSE
0.32,Ideal,G,VS2,61.6,57,561,4.39,4.41,2.71,2.7489628612561616,52.465329,FALSE
0.32,Ideal,H,VS1,61.9,55,561,4.4,4.42,2.73,2.7489628612561616,53.09304,FALSE
0.32,Good,E,SI1,63.2,56,561,4.35,4.38,2.76,2.7489628612561616,52.58627999999999,FALSE
0.32,Ideal,I,VVS2,61.5,56,561,4.4,4.42,2.71,2.7489628612561616,52.70408,FALSE
0.32,Ideal,H,VS1,61.3,55,561,4.41,4.43,2.71,2.7489628612561616,52.943373,FALSE
0.32,Premium,G,VS2,61,59,561,4.42,4.46,2.71,2.7489628612561616,53.422772,FALSE
0.32,Premium,H,VS1,61.3,60,561,4.33,4.38,2.67,2.7489628612561616,50.637617999999996,FALSE
0.32,Premium,G,VS2,62.3,60,561,4.37,4.4,2.73,2.7489628612561616,52.49244,FALSE
0.32,Ideal,I,VVS2,62.6,54,561,4.37,4.41,2.75,2.7489628612561616,52.997175000000006,FALSE
0.32,Very Good,E,SI1,61.6,56,561,4.39,4.41,2.71,2.7489628612561616,52.465329,FALSE
0.32,Ideal,G,VS2,61.8,57,561,4.38,4.42,2.72,2.7489628612561616,52.658112,FALSE
0.32,Very Good,G,VS2,62.4,59,561,4.33,4.36,2.71,2.7489628612561616,51.161548,FALSE
0.32,Good,E,SI1,63.1,56,561,4.36,4.39,2.76,2.7489628612561616,52.827504,FALSE
0.32,Premium,G,VS2,62,58,561,4.33,4.38,2.7,2.7489628612561616,51.20658,FALSE
0.32,Premium,G,VS2,62.6,59,561,4.33,4.36,2.72,2.7489628612561616,51.350336000000006,FALSE
0.32,Premium,G,VS2,62.6,60,561,4.33,4.36,2.72,2.7489628612561616,51.350336000000006,FALSE
0.32,Very Good,E,SI1,62.2,57,561,4.38,4.43,2.74,2.7489628612561616,53.165316,FALSE
0.32,Ideal,G,VS2,60.3,57,561,4.43,4.46,2.68,2.7489628612561616,52.950904,FALSE
0.32,Very Good,E,VS2,60.5,58,561,4.4,4.42,2.67,2.7489628612561616,51.92616,FALSE
0.32,Very Good,H,VS1,62.9,54,561,4.37,4.41,2.76,2.7489628612561616,53.189892,FALSE
0.32,Premium,G,VS2,62.1,60,561,4.34,4.39,2.71,2.7489628612561616,51.632546,FALSE
0.32,Premium,I,VVS2,61.9,59,561,4.35,4.38,2.7,2.7489628612561616,51.443099999999994,FALSE
0.32,Premium,H,VS1,62.4,58,561,4.35,4.4,2.73,2.7489628612561616,52.2522,FALSE
0.32,Premium,G,VS2,61.5,58,561,4.35,4.4,2.69,2.7489628612561616,51.4866,FALSE
0.32,Ideal,E,SI1,61.9,56,561,4.39,4.43,2.73,2.7489628612561616,53.092220999999995,FALSE
0.32,Premium,G,VS2,61.5,60,561,4.4,4.42,2.71,2.7489628612561616,52.70408,FALSE
0.32,Ideal,F,SI2,61.7,56,561,4.41,4.44,2.73,2.7489628612561616,53.454492,FALSE
0.32,Premium,G,VS2,62.5,58,561,4.36,4.38,2.73,2.7489628612561616,52.134264,FALSE
0.32,Ideal,G,VS2,62,57,561,4.39,4.41,2.73,2.7489628612561616,52.852527,FALSE
0.32,Ideal,H,VS1,61.8,55,561,4.41,4.42,2.73,2.7489628612561616,53.213706,FALSE
0.32,Ideal,G,VS2,61.5,57,561,4.4,4.41,2.71,2.7489628612561616,52.58484000000001,FALSE
0.32,Very Good,H,VS1,63,55,561,4.4,4.42,2.78,2.7489628612561616,54.065439999999995,FALSE
0.32,Premium,I,VVS2,62.1,59,561,4.35,4.38,2.71,2.7489628612561616,51.63362999999999,FALSE
0.32,Very Good,G,VS2,62.8,58,561,4.31,4.35,2.72,2.7489628612561616,50.99591999999999,FALSE
0.32,Premium,G,VS2,60.8,59,561,4.41,4.44,2.69,2.7489628612561616,52.671276,FALSE
0.32,Premium,G,VS2,61.1,58,561,4.42,4.45,2.71,2.7489628612561616,53.30299,FALSE
0.32,Very Good,E,SI1,62.2,58,561,4.36,4.39,2.72,2.7489628612561616,52.061888,FALSE
0.32,Premium,E,SI1,62.3,58,561,4.37,4.4,2.73,2.7489628612561616,52.49244,FALSE
0.4,Good,H,SI2,63.8,57,561,4.67,4.7,2.99,2.7489628612561616,65.62751000000002,FALSE
0.32,Premium,G,VS2,61.5,60,561,4.36,4.39,2.69,2.7489628612561616,51.487676,FALSE
0.32,Premium,G,VS2,60.7,58,561,4.38,4.42,2.67,2.7489628612561616,51.690132,FALSE
0.32,Ideal,G,VS2,61.4,57,561,4.39,4.4,2.7,2.7489628612561616,52.1532,FALSE
0.32,Ideal,E,SI1,61.8,55,561,4.42,4.45,2.74,2.7489628612561616,53.893060000000006,FALSE
0.32,Ideal,H,VS1,61.1,56,561,4.44,4.46,2.72,2.7489628612561616,53.86252800000001,FALSE
0.32,Ideal,G,VS2,62.5,56,561,4.38,4.42,2.75,2.7489628612561616,53.2389,FALSE
0.32,Very Good,H,VS1,62.8,55,561,4.35,4.41,2.75,2.7489628612561616,52.754625,FALSE
0.32,Premium,G,VS2,61.2,59,561,4.38,4.41,2.69,2.7489628612561616,51.959502,FALSE
0.32,Very Good,G,VS2,62,59,561,4.37,4.41,2.72,2.7489628612561616,52.419024000000014,FALSE
0.26,Very Good,F,VVS1,61.3,58,562,4.13,4.16,2.54,2.749736315569061,43.63923200000001,FALSE
0.31,Ideal,G,VS2,61.7,55,562,4.37,4.39,2.7,2.749736315569061,51.797610000000006,FALSE
0.31,Ideal,G,VS2,62.2,54,562,4.34,4.38,2.71,2.749736315569061,51.514932,FALSE
0.31,Ideal,G,VS2,60.8,56,562,4.38,4.4,2.67,2.749736315569061,51.45624,FALSE
0.31,Ideal,G,VS2,61.1,57,562,4.37,4.4,2.68,2.749736315569061,51.531040000000004,FALSE
0.31,Ideal,H,VS1,62,53,562,4.34,4.37,2.7,2.749736315569061,51.207660000000004,FALSE
0.31,Ideal,H,VS1,61.3,55,562,4.36,4.38,2.68,2.749736315569061,51.179424000000004,FALSE
0.39,Very Good,H,SI2,62.4,59,562,4.58,4.65,2.88,2.749736315569061,61.33536,FALSE
0.25,Fair,D,VS1,61.2,55,563,4.09,4.11,2.51,2.7505083948513462,42.192848999999995,FALSE
0.32,Very Good,G,VS2,60.9,58,564,4.42,4.45,2.7,2.751279103983342,53.106300000000005,FALSE
0.32,Ideal,G,VS2,61.8,55,564,4.4,4.43,2.73,2.751279103983342,53.21316,FALSE
0.33,Ideal,H,SI1,61.7,55,564,4.43,4.46,2.74,2.751279103983342,54.136372,FALSE
0.33,Ideal,H,SI1,60.6,56,564,4.46,4.49,2.72,2.751279103983342,54.469088000000006,FALSE
0.3,Ideal,E,SI1,61.9,57,564,4.29,4.32,2.66,2.751279103983342,49.29724800000001,FALSE
0.3,Ideal,E,SI1,62.3,57,564,4.28,4.32,2.68,2.751279103983342,49.55212800000001,FALSE
0.32,Good,E,SI1,62.5,61,564,4.32,4.35,2.71,2.751279103983342,50.92632,FALSE
0.26,Good,D,VVS2,63.6,56,564,4.06,4.09,2.59,2.751279103983342,43.007985999999995,FALSE
0.26,Ideal,E,VVS2,62.5,55,564,4.07,4.09,2.55,2.751279103983342,42.448065,FALSE
0.26,Very Good,E,VVS2,58.9,61,564,4.16,4.19,2.46,2.751279103983342,42.878784,FALSE
0.26,Very Good,E,VVS2,60.8,61,564,4.12,4.13,2.51,2.751279103983342,42.70915599999999,FALSE
0.26,Very Good,E,VVS2,61.7,61,564,4.08,4.12,2.53,2.751279103983342,42.528287999999996,FALSE
0.36,Ideal,G,SI2,61.8,56,565,4.58,4.61,2.84,2.7520484478194387,59.963192,FALSE
0.34,Ideal,E,SI1,61.9,55,565,4.51,4.53,2.8,2.7520484478194387,57.20483999999999,FALSE
0.34,Ideal,E,SI1,62.6,55,565,4.46,4.49,2.8,2.7520484478194387,56.07112,FALSE
0.31,Ideal,D,SI1,61.3,56,565,4.36,4.41,2.69,2.7520484478194387,51.722244,FALSE
0.31,Ideal,D,SI1,61.7,55,565,4.37,4.41,2.71,2.7520484478194387,52.226307000000006,FALSE
0.31,Ideal,D,SI1,62.2,54,565,4.36,4.39,2.72,2.7520484478194387,52.061888,FALSE
0.31,Ideal,D,SI1,61.3,55,565,4.36,4.41,2.69,2.7520484478194387,51.722244,FALSE
0.26,Very Good,H,VVS2,63.4,55,565,4.06,4.05,2.57,2.7520484478194387,42.258509999999994,FALSE
0.26,Premium,H,VVS2,59.8,61,565,4.18,4.15,2.49,2.7520484478194387,43.194030000000005,FALSE
0.41,Good,J,VS2,64,59,565,4.64,4.71,2.99,2.7520484478194387,65.344656,FALSE
0.3,Good,G,VS1,63.4,55,565,4.26,4.32,2.72,2.7520484478194387,50.05670400000001,FALSE
0.3,Good,G,VS1,63.5,58,565,4.21,4.26,2.69,2.7520484478194387,48.244074,FALSE
