id,punkte,alter,geburtsjahr,geschlecht,bildung_eltern,alkohol,gesundheit,sozial,unterstuetzung,wiederholungen,lernzeit,fehltage,haarfarbe
168,11.8,15,NA,w,hoch,1,5,3,nein,0,0.3,0,1
169,11.2,NA,2005,m,mittel,2,4,4,nein,0,2.6,4,1
170,11.5,NA,2004,w,mittel,1.5,1,4,nein,0,3,2,5
171,32,NA,2005,w,mittel,1,5,2.5,nein,0,8.1,2,1
172,11.2,NA,2004,D,mittel,1.5,5,3.5,nein,0,2.5,10,2
173,9.5,NA,2005,m,hoch,5,3,2,nein,0,10.9,4,1
174,6.8,16,NA,m,mittel,3.5,3,3.5,nein,0,1.6,10,3
175,6.8,NA,2005,w,gering,1,1,2.5,ja,1,10.2,2,1
176,11,NA,2005,m,mittel,1,5,3,nein,0,4.6,0,1
177,14,15,NA,m,hoch,1,4,4,nein,0,1.1,6,4
178,7,17,NA,m,mittel,4,4,4,nein,0,4.8,4,1
179,12.2,NA,2005,m,mittel,1,5,3,nein,0,2.9,0,4
180,11.5,NA,2005,m,mittel,1,3,3,nein,0,6.3,0,1
181,7.2,NA,2004,w,mittel,2,5,3.5,ja,1,4,14,4
182,10.2,NA,2005,w,mittel,2,1,4,nein,0,9.8,4,1
183,9.5,15,NA,m,hoch,1,2,3.5,nein,0,4.9,2,4
184,1,16,NA,w,mittel,1,5,3,nein,2,0.8,0,1
185,7.5,NA,2005,m,mittel,1,3,3,nein,0,10.1,0,5
186,9.2,16,NA,m,mittel,1.5,3,3.5,nein,0,4,2,1
187,3.2,15,NA,w,mittel,1,3,2.5,nein,3,3.1,0,1
188,30.5,NA,2004,m,mittel,1,3,4,nein,0,NA,0,1
189,7.5,15,NA,w,gering,1.5,5,3,nein,0,3,0,3
190,8.2,NA,2004,m,hoch,5,5,4.5,nein,0,2.5,16,1
191,13.5,17,NA,w,hoch,2.5,2,4,nein,1,1.6,24,1
192,4,15,NA,m,mittel,1,3,2,ja,0,10.3,0,1
193,8.7,NA,2005,w,mittel,1,5,3,ja,0,7.8,2,1
194,7,NA,2004,w,mittel,3,4,3.5,ja,0,7.8,2,1
195,7,NA,2005,m,gering,1,5,3,ja,0,3.5,2,1
196,11.8,NA,2004,w,mittel,1,5,3.5,nein,0,3.2,2,1
197,5.8,NA,2004,w,mittel,2,5,1.5,nein,2,1.7,14,1
198,13.3,NA,2005,m,mittel,1,1,3,nein,0,3.4,0,1
199,8,NA,2005,m,mittel,1,1,3,nein,0,11.3,8,1
200,10.2,NA,2004,m,mittel,1,5,4,nein,0,0.6,0,1
201,10.8,17,2003,m,gering,2,1,2.5,nein,0,4.7,2,1
202,4,18,2002,w,gering,1.5,1,4,nein,0,2.5,0,4
203,6.8,20,2000,m,mittel,4.5,4,4.5,nein,2,3.1,11,3
204,7.2,17,2003,w,mittel,1,3,3,nein,0,2.9,12,1
205,7,18,2002,w,mittel,1,5,4.5,nein,0,2.8,0,4
206,8.7,17,2003,m,mittel,2,2,4.5,nein,0,4.4,4,1
207,8.2,18,2002,w,gering,1,3,3.5,nein,0,2.9,2,3
208,4,17,2003,w,mittel,3,1,4,nein,2,3.2,22,1
209,6.8,18,2002,w,gering,1,4,4.5,ja,0,4.2,4,1
210,10.2,18,2002,m,mittel,1,4,3.5,nein,0,5.6,8,3
211,6,17,2003,m,gering,1.5,5,4,nein,1,1.7,2,1
212,9.8,17,2003,w,mittel,1.5,5,3.5,nein,0,3.7,23,1
213,13.5,16,2004,m,gering,1,4,3.5,nein,0,1.6,6,3
214,10.8,18,2002,m,hoch,1,2,4,nein,0,2.8,9,2
215,11.5,18,2002,m,mittel,2,5,3.5,nein,0,3.6,11,3
216,7.8,16,2004,w,mittel,1,5,5,nein,0,10.4,6,1
217,8.2,18,2002,w,hoch,3,5,4,nein,0,3.7,2,1
218,2.8,19,2001,m,gering,2,5,3,nein,1,1.8,0,4
219,6,17,2003,m,mittel,3,5,4,nein,0,0.4,30,1
220,5.5,18,2002,m,mittel,3,5,4.5,nein,1,1.9,0,1
221,7.5,18,2002,m,gering,1.5,3,2.5,nein,0,1.5,4,1
222,7.2,17,2003,w,mittel,2.5,2,3.5,nein,0,4.1,4,1
223,7,17,2003,w,hoch,2,4,4.5,nein,0,8,7,1
224,9.2,18,2002,w,hoch,3,5,2.5,nein,0,4.6,10,1
225,1.8,18,2002,w,mittel,1,4,4.5,nein,0,4.5,0,1
226,9,17,2003,m,mittel,2.5,5,3.5,nein,0,4.7,14,1
227,8.7,19,2001,m,gering,2,4,3,nein,1,4.9,3,1
228,6,18,2002,w,mittel,1,4,4,nein,1,3.4,16,1
229,5,18,2002,m,gering,2,5,3.5,nein,0,0.6,5,5
230,8.5,19,2001,w,mittel,1.5,1,3,nein,1,2,22,1
231,11.2,18,2002,w,mittel,1.5,1,3.5,nein,0,4.2,0,3
232,4.2,18,2002,w,hoch,2,5,3.5,nein,0,0.3,7,1
233,9.2,18,2002,m,mittel,5,5,3.5,nein,1,0.2,10,1
234,6.8,18,2002,w,hoch,3.5,2,4,nein,0,4.1,4,1
235,8.5,18,2002,m,mittel,2.5,5,3,nein,0,5,11,5
236,5.5,22,1998,m,mittel,5,1,5,nein,3,1.4,16,5
237,7,16,2004,w,gering,2.5,5,3,nein,0,0.3,6,1
238,10,17,2003,w,mittel,1.5,3,3,nein,0,4.8,14,1
239,11.2,17,2003,m,mittel,4,5,4.5,nein,0,1.6,3,1
240,8.2,17,2003,w,mittel,2,3,2.5,nein,0,9.9,3,1
241,7,17,2003,w,mittel,3.5,5,3.5,nein,1,9.6,28,2
242,10.8,18,2002,m,gering,1.5,4,4.5,nein,0,5,8,1
243,11,17,2003,w,mittel,2,1,4,nein,0,2.9,2,1
244,6.2,21,1999,m,gering,3,3,4,nein,3,0.4,3,3
245,1.8,18,2002,w,gering,1,3,4,nein,0,9.2,0,1
246,9.5,18,2002,m,gering,2.5,3,3.5,nein,0,0.4,3,2
247,11.5,17,2003,w,gering,2.5,2,3,nein,0,9.8,0,1
248,7.5,17,2003,w,mittel,1.5,5,5,nein,0,2.4,4,1
249,10.8,18,2002,m,gering,2,2,4,nein,0,9,6,4
250,10.8,17,2003,w,mittel,2,4,3.5,nein,0,7.4,0,1
